"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Minutes";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"PSV-99";"TOP 5 PSV-99";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90"
"Vilde Bøe Risa";"V. Bøe Risa";"22356";"1995-07-13";"Atlético Madrid, Women";"2000";"87.82";"17";"0";"24.11";"25.7";"0.87";"null";"null";"null";"2.15";"2.93";"9801.59";"108.91";"1293.45";"243.62";"19.35";"21.7";"1.02";"265.32";"20.38";"102.43";"1.63";"89.41";"3.44";"0.48";"0.0";"15.37"
"Caroline Graham Graham Hansen";"C. Graham Hansen";"22358";"1995-02-18";"FC Barcelona, Women";"1995";"79.57";"13";"0";"27.78";"28.54";"0.76";"0.85";"1.68";"null";"2.18";"2.77";"9196.3";"102.18";"1150.42";"451.19";"44.72";"125.89";"7.83";"577.08";"52.55";"95.53";"4.35";"80.13";"9.57";"2.7";"0.7";"28.97"
"Emilie Nautnes";"E. Nautnes";"22370";"1999-01-13";"Madrid CF, Women";"2011";"84.0";"18";"0";"27.81";"29.56";"0.79";"0.87";"1.75";"null";"2.06";"2.92";"8736.51";"97.07";"1099.27";"488.63";"45.18";"137.62";"7.68";"626.24";"52.86";"91.9";"5.3";"81.61";"9.46";"3.21";"0.71";"22.68"
"Sara Däbritz";"S. Däbritz";"22430";"1995-02-15";"Real Madrid, Women";"2016";"85.39";"16";"0";"24.88";"25.72";"0.81";"0.88";"null";"null";"2.08";"2.97";"10343.12";"114.92";"1511.94";"353.0";"29.84";"25.95";"1.78";"378.96";"31.62";"96.63";"1.84";"89.32";"6.52";"0.59";"0.07";"19.89"
"Irene  Paredes Hernandez";"Irene Paredes";"22444";"1991-07-04";"FC Barcelona, Women";"1995";"84.03";"18";"0";"26.99";"28.16";"0.82";"0.97";"1.93";"2.03";"2.09";"3.03";"9094.75";"101.05";"1098.17";"412.97";"32.61";"64.74";"4.52";"477.71";"37.13";"91.94";"2.8";"80.21";"5.24";"1.37";"0.71";"17.49"
"Marta Torrejón Moya";"Marta Torrejon";"22448";"1990-02-27";"FC Barcelona, Women";"1995";"98.86";"13";"0";"25.65";"26.74";"0.87";"null";"null";"null";"2.65";"3.08";"8593.06";"95.48";"885.63";"307.23";"23.67";"41.53";"2.94";"348.76";"26.61";"89.57";"2.31";"74.72";"4.76";"0.84";"0.0";"10.86"
"Alexia Putellas Segura";"Alexia Putellas";"22451";"1994-02-04";"FC Barcelona, Women";"1995";"82.63";"15";"0";"23.67";"25.0";"1.11";"null";"null";"null";"2.11";"3.16";"9620.63";"106.9";"1261.5";"237.46";"20.62";"11.91";"0.94";"249.37";"21.57";"108.05";"2.47";"94.91";"4.87";"0.29";"0.0";"17.21"
"Patricia Guijarro Gutiérrez";"Patri Guijarro";"22452";"1998-05-17";"FC Barcelona, Women";"1995";"83.27";"8";"0";"26.48";"27.78";"0.81";"null";"null";"null";"2.42";"3.05";"10152.58";"112.81";"1149.2";"268.45";"26.35";"51.61";"2.84";"320.06";"29.18";"95.38";"3.51";"83.36";"4.46";"1.08";"0.14";"21.89"
"María Pilar León Cebrián";"María León";"22456";"1995-06-13";"FC Barcelona, Women";"1995";"75.7";"11";"0";"26.88";"27.98";"0.82";"null";"null";"null";"2.35";"3.23";"8929.71";"99.22";"918.99";"312.02";"26.26";"63.55";"3.35";"375.57";"29.61";"91.97";"3.35";"79.33";"5.08";"1.73";"0.43";"13.73"
"Aitana Bonmati Conca";"Aitana Bonmati";"22458";"1998-01-18";"FC Barcelona, Women";"1995";"92.45";"7";"0";"26.14";"26.6";"0.8";"0.83";"null";"null";"2.35";"2.99";"9207.73";"102.31";"1045.15";"307.08";"28.65";"49.79";"3.06";"356.87";"31.71";"101.8";"2.78";"87.06";"7.79";"1.39";"0.14";"21.97"
"Monica Hickmann Alves";"Mônica";"22553";"1987-04-21";"Madrid CF, Women";"2011";"88.49";"21";"0";"25.94";"27.58";"0.82";"0.85";"1.96";"null";"2.2";"2.85";"9029.03";"100.32";"985.93";"285.85";"24.22";"46.98";"3.05";"332.83";"27.27";"94.39";"1.94";"79.57";"4.12";"0.82";"0.34";"15.35"
"Caroline Weir";"C. Weir";"22633";"1995-06-20";"Real Madrid, Women";"2016";"74.93";"17";"0";"24.96";"26.06";"0.74";"0.89";"null";"null";"2.05";"2.87";"9864.77";"109.61";"1471.35";"358.14";"31.16";"34.27";"2.54";"392.41";"33.7";"109.23";"2.05";"94.46";"8.05";"1.06";"0.0";"26.07"
"Estefanía Romina Banini Ruiz";"E. Banini";"22657";"1990-06-21";"FC Levante Las Planas Badalona";"4040";"80.43";"18";"0";"24.92";"26.64";"0.87";"null";"null";"null";"1.97";"2.96";"9731.41";"108.13";"1373.5";"373.04";"31.83";"35.37";"2.24";"408.41";"34.07";"101.95";"2.49";"83.55";"7.89";"0.44";"0.0";"24.99"
"Ingrid Filippa Angeldahl";"F. Angeldahl";"42753";"1997-07-14";"Real Madrid, Women";"2016";"86.59";"18";"0";"25.78";"26.9";"0.92";"null";"null";"null";"2.02";"2.9";"10214.82";"113.5";"1391.34";"362.52";"29.22";"37.71";"2.48";"400.22";"31.7";"103.54";"1.67";"90.6";"5.54";"0.4";"0.0";"22.06"
"Francisca Ramos Ribeiro Nazareth Sousa";"Kika Nazareth";"52569";"2002-11-17";"FC Barcelona, Women";"1995";"78.67";"12";"0";"24.98";"26.32";"1.17";"null";"null";"null";"2.08";"3.2";"10001.93";"111.13";"1415.76";"391.26";"31.46";"30.32";"2.38";"421.58";"33.84";"109.92";"2.67";"96.67";"6.01";"0.57";"0.0";"25.07"
"Dolores Isabel Jacome Silva";"Dolores Silva";"52573";"1991-08-07";"Levante UD, Women";"2003";"90.95";"13";"0";"23.77";"24.78";"1.3";"null";"null";"null";"2.07";"2.82";"9820.31";"109.11";"1531.11";"353.97";"25.81";"21.09";"1.37";"375.05";"27.18";"103.98";"1.75";"93.93";"6.62";"0.53";"0.0";"20.93"
"Andreia de Jesus Jacinto";"Andreia Jacinto";"52591";"2002-06-08";"Real Sociedad, Women";"2001";"89.95";"15";"0";"25.53";"26.5";"0.69";"0.89";"null";"null";"2.03";"2.99";"10478.95";"116.43";"1459.71";"353.81";"30.75";"41.76";"2.73";"395.56";"33.49";"98.46";"2.07";"88.92";"5.34";"1.53";"0.27";"21.55"
"Freja Olofsson";"F. Olofsson";"57123";"1998-05-24";"Madrid CF, Women";"2011";"56.95";"4";"0";"26.0";"26.0";"0.93";"null";"null";"null";"null";"null";"9145.0";"101.61";"1119.67";"402.59";"33.58";"63.21";"3.56";"465.8";"37.14";"94.03";"4.74";"82.18";"10.67";"3.56";"0.0";"17.78"
"Hanna Ulrika Bennison";"H. Bennison";"59377";"2002-10-16";"Real Madrid, Women";"2016";"83.28";"6";"0";"24.73";"24.82";"1.08";"null";"null";"null";"2.39";"2.88";"10199.34";"113.33";"1545.69";"415.33";"35.12";"23.77";"1.44";"439.1";"36.56";"112.21";"2.16";"99.06";"9.73";"1.08";"0.0";"20.89"
"Giovana Queiroz Costa";"Gio Garbelini";"62393";"2003-06-21";"Atlético Madrid, Women";"2000";"88.53";"4";"0";"29.55";"29.55";"0.82";"null";"null";"null";"2.45";"null";"9024.4";"100.27";"1003.45";"476.56";"50.58";"177.92";"10.17";"654.48";"60.75";"96.07";"5.08";"82.86";"10.42";"2.54";"0.76";"26.18"
"Ana Vitoria Angelica Kliemaschewsk de Araujo";"Ana Vitória";"62477";"2000-03-06";"Atlético Madrid, Women";"2000";"92.46";"4";"0";"26.85";"26.85";"0.85";"null";"null";"null";"2.31";"null";"9191.68";"102.13";"1096.55";"373.79";"37.72";"77.39";"3.41";"451.18";"41.13";"85.42";"2.43";"79.33";"4.62";"1.22";"0.0";"22.63"
"Loreta Kullashi";"L. Kullashi";"62524";"1999-05-20";"FC Levante Las Planas Badalona";"4040";"99.03";"5";"0";"25.44";"25.44";"1.14";"null";"null";"null";"2.28";"3.07";"10031.48";"111.46";"1494.69";"462.06";"36.72";"33.63";"2.54";"495.68";"39.26";"98.34";"4.18";"87.25";"8.0";"1.27";"0.0";"27.99"
"Catalina Alasia Ongaro";"C. Ongaro";"62532";"2003-03-26";"DUX Logroño";"5155";"72.27";"8";"0";"24.21";"24.68";"null";"null";"null";"null";"2.4";"3.13";"9671.56";"107.46";"1315.56";"320.06";"27.09";"22.57";"1.4";"342.63";"28.49";"104.61";"1.09";"91.69";"6.07";"0.31";"0.0";"24.91"
"Daniela Caracas González";"D. Caracas";"62575";"1997-04-25";"Reial Club Deportiu Espanyol";"4041";"96.26";"15";"0";"27.81";"29.4";"0.63";"0.76";"null";"null";"2.12";"2.73";"9392.3";"104.36";"1190.48";"451.53";"39.71";"121.86";"6.42";"573.39";"46.13";"101.23";"4.61";"89.7";"11.78";"2.8";"0.12";"21.44"
"Signe Kallesøe Bruun";"S. Bruun";"62605";"1998-04-06";"Real Madrid, Women";"2016";"62.73";"5";"0";"26.34";"26.34";"1.01";"1.27";"null";"null";"2.66";"3.08";"9410.4";"104.56";"1260.19";"476.59";"41.03";"53.94";"2.87";"530.53";"43.9";"109.89";"6.6";"89.81";"14.63";"5.45";"0.0";"30.13"
"Hildur Antonsdóttir";"H. Antonsdóttir";"62703";"1995-09-18";"Madrid CF, Women";"2011";"92.35";"22";"0";"24.68";"26.52";"0.85";"1.0";"null";"null";"2.09";"2.79";"9123.62";"101.37";"1016.47";"223.44";"19.14";"24.5";"1.55";"247.94";"20.69";"88.69";"1.68";"77.61";"3.81";"0.53";"0.13";"15.99"
"Bárbara Latorre Vinals";"Bárbara Latorre";"62890";"1993-03-14";"Real Club Deportivo de La Coruña";"4039";"69.64";"10";"0";"27.14";"27.84";"0.68";"0.82";"1.67";"null";"2.13";"3.03";"9500.53";"105.56";"1235.5";"544.34";"47.43";"114.76";"7.24";"659.1";"54.67";"101.97";"5.56";"83.62";"12.41";"4.26";"1.29";"32.83"
"Eva María Navarro García";"Eva Navarro";"62893";"2001-01-27";"Real Madrid, Women";"2016";"77.85";"20";"0";"27.89";"29.38";"0.62";"0.76";"1.33";"null";"2.04";"2.89";"9272.64";"103.03";"1160.76";"485.38";"43.01";"139.31";"7.17";"624.69";"50.17";"96.42";"3.82";"84.63";"9.83";"2.49";"0.4";"22.95"
"Ainhoa Vicente Moraza";"Ainhoa Moraza";"62895";"1995-08-20";"Real Sociedad, Women";"2001";"99.89";"21";"0";"27.82";"29.64";"0.68";"0.76";"1.43";"1.54";"1.92";"2.78";"8842.79";"98.25";"885.36";"346.06";"32.86";"98.29";"5.53";"444.35";"38.4";"90.65";"3.56";"77.14";"6.65";"2.06";"0.47";"16.73"
"María de Alharilla Casado Morente";"Alharilla Casado";"62898";"1990-11-13";"Levante UD, Women";"2003";"97.7";"16";"0";"26.08";"27.16";"0.75";"null";"null";"null";"2.17";"2.8";"9091.39";"101.02";"1092.88";"378.02";"30.4";"76.51";"3.51";"454.53";"33.91";"97.81";"4.61";"83.82";"11.0";"2.3";"0.17";"18.54"
"Antonia Ronnycleide da Costa Silva";"Antônia Silva";"63538";"1994-04-26";"Real Madrid, Women";"2016";"76.42";"2";"0";"25.95";"25.95";"null";"null";"null";"null";"null";"null";"9425.56";"104.73";"1269.62";"446.96";"32.98";"78.32";"3.53";"525.28";"36.51";"93.04";"4.71";"75.97";"10.6";"0.0";"0.0";"25.32"
"Daiana Micaela Falfán";"D. Falfán";"63571";"2000-10-14";"DUX Logroño";"5155";"90.8";"22";"0";"23.81";"25.22";"1.0";"null";"null";"null";"2.24";"3.07";"9500.98";"105.57";"1122.33";"228.68";"19.46";"8.42";"0.5";"237.11";"19.96";"98.08";"1.17";"88.53";"5.45";"0.14";"0.0";"16.49"
"Annelie Leitner";"A. Leitner";"63602";"1996-06-15";"DUX Logroño";"5155";"93.47";"20";"0";"27.18";"28.36";"0.81";"0.86";"null";"null";"2.04";"2.7";"9999.76";"111.11";"1658.83";"808.28";"62.73";"161.86";"10.3";"970.14";"73.03";"129.75";"5.15";"103.07";"21.33";"3.9";"0.39";"34.37"
"Linda Lizeth Caicedo Alegria";"L. Caicedo";"63688";"2005-02-22";"Real Madrid, Women";"2016";"83.91";"12";"0";"29.27";"30.68";"0.66";"0.84";"1.31";"null";"2.19";"2.66";"9000.0";"100.0";"1027.64";"479.18";"50.59";"200.84";"10.82";"680.03";"61.41";"97.52";"4.56";"82.32";"12.69";"2.68";"0.8";"28.6"
"Priscila Chinchilla";"P. Chinchilla";"63713";"2001-07-11";"Atlético Madrid, Women";"2000";"96.02";"1";"0";"28.3";"28.3";"null";"null";"null";"null";"null";"null";"9179.34";"101.99";"1231.66";"574.59";"52.49";"194.03";"11.25";"768.62";"63.74";"94.67";"4.69";"81.55";"13.12";"4.69";"0.0";"33.74"
"Klára Cahynová";"K. Cahynová";"63731";"1993-12-20";"Real Sociedad, Women";"2001";"98.16";"19";"0";"23.82";"24.9";"0.74";"null";"null";"null";"2.27";"2.72";"10089.6";"112.11";"1176.81";"217.84";"18.05";"12.02";"0.77";"229.85";"18.82";"86.14";"1.54";"74.99";"2.8";"0.58";"0.0";"17.66"
"Kathrine Møller Kühl";"K. Kühl";"63750";"2003-07-05";"Atlético Madrid, Women";"2000";"51.21";"3";"0";"25.57";"25.57";"null";"null";"null";"null";"null";"3.08";"11064.23";"122.94";"1931.63";"613.41";"46.28";"83.19";"4.69";"696.6";"50.97";"103.11";"2.34";"90.81";"7.62";"0.0";"0.0";"25.78"
"Sofie Junge Pedersen";"S. Junge Pedersen";"63755";"1992-04-24";"FC Levante Las Planas Badalona";"4040";"85.71";"3";"0";"25.0";"25.0";"null";"null";"null";"null";"2.36";"null";"9841.95";"109.36";"1350.79";"305.58";"26.95";"27.3";"2.1";"332.88";"29.05";"111.66";"1.75";"101.51";"6.65";"0.0";"0.0";"18.55"
"Sara Rosted Holmgaard";"S. Holmgaard";"63763";"1999-01-28";"Real Madrid, Women";"2016";"88.62";"16";"0";"26.93";"27.98";"0.66";"0.8";"null";"null";"2.04";"2.83";"9776.53";"108.63";"1343.68";"530.56";"44.75";"96.16";"5.46";"626.71";"50.21";"100.22";"4.19";"88.73";"11.74";"2.41";"0.0";"23.04"
"Sandie Toletti";"S. Toletti";"63789";"1995-07-13";"Real Madrid, Women";"2016";"86.31";"10";"0";"24.46";"25.68";"null";"null";"null";"null";"2.59";"null";"9957.47";"110.64";"1263.79";"255.78";"21.17";"16.68";"1.04";"272.47";"22.21";"90.3";"1.67";"83.11";"2.29";"0.42";"0.0";"13.24"
"Andrea Abigail Alvarez Donis";"A. Alvarez";"63824";"2003-01-13";"Sevilla FC, Women";"2013";"77.73";"10";"0";"26.47";"27.22";"0.9";"null";"null";"null";"2.18";"3.04";"8872.41";"98.58";"1182.9";"505.37";"45.85";"100.73";"6.37";"606.1";"52.22";"109.29";"6.14";"89.61";"13.78";"2.08";"0.12";"27.56"
"Synne Sofie Kinden Jensen";"S. Jensen";"63933";"1996-02-15";"Atlético Madrid, Women";"2000";"83.08";"19";"0";"27.31";"28.3";"0.66";"0.78";"1.67";"2.36";"2.2";"2.78";"8986.85";"99.85";"971.75";"432.25";"40.88";"108.16";"5.93";"540.41";"46.81";"92.88";"5.25";"80.51";"7.36";"2.68";"0.63";"19.79"
"Aldrith Ivana Quintero Humphries";"Aldrith Quintero";"63943";"2002-01-01";"Alhama CF";"5154";"105.23";"8";"0";"25.45";"26.56";"null";"null";"null";"null";"2.53";"3.37";"8243.15";"91.59";"870.99";"186.56";"17.32";"27.58";"0.75";"214.14";"18.07";"85.42";"1.92";"76.44";"4.17";"0.43";"0.0";"13.9"
"Ewa  Pajor";"E. Pajor";"63993";"1996-12-03";"FC Barcelona, Women";"1995";"83.35";"15";"0";"27.43";"28.46";"0.71";"0.75";"1.88";"null";"1.98";"2.76";"9905.88";"110.07";"1351.58";"528.51";"53.63";"121.29";"8.78";"649.81";"62.41";"113.66";"7.41";"94.59";"12.96";"4.61";"0.36";"34.62"
"Ona Batlle Pascual";"Ona Batlle";"64094";"1999-06-10";"FC Barcelona, Women";"1995";"77.92";"14";"0";"27.26";"28.38";"0.65";"0.65";"1.64";"null";"2.0";"2.72";"9309.93";"103.44";"1190.83";"553.92";"48.26";"121.36";"8.83";"675.28";"57.09";"103.46";"5.28";"88.52";"13.53";"3.96";"0.83";"24.67"
"Laia Aleixandri López";"Laia Aleixandri";"64095";"2000-08-25";"FC Barcelona, Women";"1995";"80.14";"9";"0";"25.6";"26.6";"0.98";"null";"null";"null";"2.08";"3.32";"9731.31";"108.13";"1212.45";"328.57";"27.2";"53.53";"2.87";"382.1";"30.07";"96.84";"3.49";"84.73";"6.99";"1.5";"0.12";"17.47"
"Rosa Márquez Baena";"Rosa Márquez";"64097";"2000-12-22";"Sevilla FC, Women";"2013";"101.11";"22";"0";"24.93";"26.6";"0.69";"null";"null";"null";"2.03";"2.94";"9028.78";"100.32";"1177.82";"334.57";"26.38";"36.62";"1.74";"371.19";"28.12";"94.11";"2.35";"83.84";"7.24";"0.89";"0.08";"24.2"
"Anna Torroda Ricart";"Anna Torrodà";"64098";"2000-01-21";"Reial Club Deportiu Espanyol";"4041";"96.28";"17";"0";"24.94";"26.46";"1.1";"null";"null";"null";"2.25";"2.78";"9741.57";"108.24";"1295.05";"304.64";"24.25";"26.23";"1.21";"330.87";"25.46";"92.38";"1.43";"84.96";"4.56";"0.27";"0.0";"19.3"
"Nerea Eizaguirre Lasa";"Nerea Eizagirre";"64099";"2000-01-04";"Real Sociedad, Women";"2001";"79.92";"8";"0";"26.1";"26.76";"0.96";"null";"null";"null";"2.17";"2.93";"8715.56";"96.84";"923.98";"334.6";"31.81";"62.36";"2.82";"396.96";"34.63";"86.29";"3.66";"76.72";"6.19";"1.41";"0.99";"20.41"
"Claudia Pina Medina";"Claudia Pina";"64100";"2001-08-12";"FC Barcelona, Women";"1995";"77.61";"13";"0";"25.51";"26.8";"0.86";"0.99";"null";"null";"2.26";"2.84";"9613.8";"106.82";"1164.35";"391.15";"32.65";"37.11";"1.69";"428.26";"34.34";"107.04";"3.57";"89.47";"5.8";"2.5";"0.36";"20.34"
"Amaiur Sarriegi Isasa";"Amaiur Sarriegi";"64102";"2000-12-13";"Atlético Madrid, Women";"2000";"78.72";"17";"0";"26.62";"27.98";"0.79";"0.81";"null";"null";"1.96";"3.0";"9426.65";"104.74";"1354.72";"537.99";"45.06";"104.1";"5.25";"642.09";"50.3";"106.05";"5.92";"90.05";"10.63";"3.23";"0.27";"29.12"
"Alba María Redondo Ferrer";"Alba Redondo";"64103";"1996-08-27";"Real Madrid, Women";"2016";"73.83";"15";"0";"26.46";"28.04";"0.66";"0.82";"1.95";"null";"1.99";"2.99";"9304.09";"103.38";"1196.7";"453.86";"41.53";"65.58";"4.79";"519.44";"46.32";"100.2";"5.61";"85.08";"11.95";"3.66";"0.41";"27.47"
"Athenea del Castillo Belvide";"Athenea del Castillo";"64105";"2000-10-24";"Real Madrid, Women";"2016";"75.04";"21";"0";"28.21";"29.4";"0.68";"0.69";"1.44";"1.68";"1.9";"2.78";"9613.04";"106.81";"1197.98";"506.64";"49.57";"153.06";"9.37";"659.7";"58.94";"95.09";"4.74";"80.07";"13.19";"3.03";"0.97";"29.41"
"María José Pérez González";"María José Pérez";"67695";"1984-03-19";"Alhama CF";"5154";"94.65";"9";"0";"26.16";"26.5";"0.92";"1.04";"2.14";"null";"2.03";"2.82";"8898.61";"98.87";"1126.34";"465.71";"40.04";"70.15";"5.71";"535.86";"45.75";"98.57";"5.71";"81.77";"10.67";"2.85";"0.85";"30.74"
"Aleksandra Zaremba Kupiec";"A. Zaremba";"67697";"2001-02-19";"UDG Tenerife, Women";"1996";"98.14";"22";"0";"27.26";"28.84";"0.74";"0.82";"1.47";"null";"2.28";"2.93";"8974.13";"99.71";"1136.1";"503.86";"40.72";"105.42";"5.59";"609.28";"46.31";"104.62";"4.08";"88.28";"11.3";"2.96";"0.63";"17.38"
"Natalia Ramos Álvarez";"Natalia Ramos";"67699";"1999-02-10";"UDG Tenerife, Women";"1996";"101.62";"23";"0";"24.18";"25.94";"0.76";"0.89";"null";"null";"2.0";"2.8";"9807.91";"108.98";"1605.0";"355.38";"30.23";"17.94";"1.12";"373.32";"31.34";"128.73";"2.97";"104.08";"9.93";"1.08";"0.04";"29.73"
"Patricia Gavira Collado";"Patri Gavira";"67700";"1989-04-26";"UDG Tenerife, Women";"1996";"103.59";"22";"0";"25.84";"27.14";"0.83";"null";"null";"null";"2.16";"2.81";"8547.12";"94.97";"836.74";"229.18";"19.83";"32.74";"1.42";"261.92";"21.25";"97.67";"2.84";"80.96";"7.42";"0.83";"0.0";"12.08"
"Koko Ange Mariette Christelle N'Guessan";"A. N'Guessan";"67702";"1990-11-18";"UDG Tenerife, Women";"1996";"80.39";"5";"0";"27.72";"27.72";"0.75";"0.81";"null";"null";"2.1";"null";"8441.35";"93.79";"1073.86";"483.87";"47.47";"143.97";"8.28";"627.84";"55.75";"100.76";"6.49";"88.44";"14.55";"3.36";"0.45";"21.94"
"Paola Hernández Díaz";"Paola Hernández";"67705";"2002-07-25";"UDG Tenerife, Women";"1996";"78.8";"16";"0";"24.81";"26.34";"0.89";"null";"null";"null";"2.14";"3.06";"9850.95";"109.45";"1410.84";"323.37";"26.91";"30.12";"1.21";"353.49";"28.13";"117.43";"2.57";"95.65";"9.42";"0.71";"0.21";"27.55"
"Cecilia Marcos Nabal";"Cecilia Marcos";"68132";"2001-11-03";"Real Sociedad, Women";"2001";"73.97";"6";"0";"27.85";"27.98";"0.7";"0.76";"2.19";"null";"2.35";"2.89";"9912.81";"110.14";"1381.58";"597.0";"54.96";"196.3";"11.56";"793.3";"66.51";"117.82";"6.49";"94.9";"17.44";"5.48";"1.22";"38.93"
"Emma Ramírez Gorgoso";"Emma Ramírez";"68133";"2002-05-10";"Real Sociedad, Women";"2001";"70.22";"11";"0";"27.09";"28.52";"0.86";"null";"null";"null";"2.4";"2.8";"9429.67";"104.77";"1240.41";"458.99";"40.2";"113.38";"5.01";"572.37";"45.21";"105.22";"5.13";"91.71";"13.05";"1.28";"0.0";"27.27"
"Gemma Gili Giner";"Gemma Gili";"68135";"1994-05-21";"Sevilla FC, Women";"2013";"84.83";"2";"0";"24.7";"24.7";"null";"null";"null";"null";"null";"null";"9122.18";"101.36";"991.41";"284.85";"20.16";"9.55";"0.53";"294.4";"20.69";"99.19";"2.12";"76.39";"6.9";"0.53";"0.0";"13.79"
"Iris Arnaiz Gil";"Iris Arnaiz";"68136";"1994-05-18";"Sevilla FC, Women";"2013";"88.57";"17";"0";"24.57";"26.78";"0.99";"null";"null";"null";"2.05";"3.15";"8767.2";"97.41";"983.35";"213.15";"18.83";"27.02";"1.26";"240.17";"20.08";"91.22";"1.79";"81.47";"4.66";"0.54";"0.0";"11.12"
"Maddi Torre Larrañaga";"Maddi Torre";"68138";"1996-03-30";"Athletic Club de Bilbao, Women";"2010";"86.06";"9";"0";"25.92";"26.86";"1.07";"null";"null";"null";"2.52";"null";"8936.24";"99.29";"958.66";"323.74";"26.15";"34.4";"2.32";"358.13";"28.47";"90.4";"2.44";"74.72";"5.11";"0.93";"0.23";"13.83"
