"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Minutes";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"PSV-99";"TOP 5 PSV-99";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90"
"Gabriela Antonia García Segura";"Gaby García";"68140";"1997-04-02";"Atlético Madrid, Women";"2000";"93.52";"12";"0";"25.52";"26.56";"0.89";"null";"null";"null";"2.13";"3.06";"9644.7";"107.16";"1288.51";"349.9";"26.71";"43.95";"2.81";"393.84";"29.51";"99.44";"2.09";"88.94";"6.01";"0.96";"0.16";"17.64"
"Mirari Uria Gabilondo";"Mirari Uria";"68146";"2003-01-01";"Real Sociedad, Women";"2001";"73.55";"4";"0";"25.73";"25.73";"null";"null";"null";"null";"2.34";"3.27";"10421.58";"115.8";"1333.48";"522.81";"43.44";"49.25";"4.59";"572.06";"48.03";"100.34";"5.2";"91.47";"11.62";"1.84";"0.0";"30.9"
"Berta Pujadas Boix";"Berta Pujadas";"68151";"2000-04-09";"FC Levante Las Planas Badalona";"4040";"101.13";"6";"0";"25.95";"26.18";"1.13";"null";"null";"null";"2.4";"3.23";"8211.54";"91.24";"863.96";"251.55";"21.51";"34.71";"2.22";"286.26";"23.73";"90.18";"3.11";"74.46";"5.34";"1.63";"0.0";"13.35"
"Esther Martín-Pozuelo Aranda";"Esther Martín-Pozuelo";"68154";"1998-10-08";"Sevilla FC, Women";"2013";"94.44";"16";"0";"26.73";"27.86";"0.67";"null";"2.12";"null";"2.16";"2.67";"8801.62";"97.8";"1057.8";"383.69";"33.35";"69.75";"3.99";"453.43";"37.34";"99.35";"4.17";"85.35";"9.95";"1.67";"0.3";"20.25"
"Lice Fabiana Chamorro Gómez";"L. Chamorro";"68162";"1998-12-22";"FC Levante Las Planas Badalona";"4040";"94.66";"18";"0";"28.85";"30.06";"0.59";"0.74";"1.29";"1.83";"1.78";"2.86";"8785.26";"97.61";"1047.46";"586.75";"56.94";"231.62";"13.21";"818.37";"70.15";"97.4";"6.34";"81.82";"12.47";"4.81";"1.9";"25.04"
"Nerea Nevado Gómez";"Nerea Nevado";"68163";"2001-04-27";"Athletic Club de Bilbao, Women";"2010";"94.51";"19";"0";"26.69";"27.8";"0.62";"0.91";"null";"null";"2.1";"2.89";"8824.02";"98.04";"1059.11";"422.05";"35.48";"83.2";"4.66";"505.25";"40.15";"100.04";"4.11";"88.21";"9.87";"2.66";"0.25";"19.6"
"Gema Soliveres Cholbi";"Gema Soliveres";"68167";"2000-11-03";"Levante UD, Women";"2003";"62.3";"6";"0";"25.08";"25.42";"null";"null";"null";"null";"2.37";"null";"9182.82";"102.03";"1150.59";"266.28";"22.15";"32.02";"1.93";"298.3";"24.08";"100.16";"1.69";"94.38";"3.37";"0.24";"0.0";"17.82"
"Sonia García Majarín";"Sonia Majarín";"68169";"2002-12-06";"FC Levante Las Planas Badalona";"4040";"99.17";"20";"0";"26.79";"27.9";"0.76";"0.99";"null";"null";"2.02";"null";"8288.49";"92.09";"856.73";"295.12";"26.14";"71.1";"3.4";"366.22";"29.54";"90.07";"2.4";"76.68";"5.54";"1.27";"0.09";"14.84"
"Vera Martínez Viota";"Vera Martínez";"68175";"1999-09-13";"Real Club Deportivo de La Coruña";"4039";"98.37";"18";"0";"26.36";"27.4";"0.93";"0.99";"null";"null";"2.27";"2.91";"9206.76";"102.3";"1125.61";"391.33";"31.51";"69.23";"4.32";"460.56";"35.83";"99.02";"2.74";"82.19";"8.39";"1.12";"0.0";"18.45"
"Garazi Fácila Giralte";"Garazi Facila";"68176";"1999-10-25";"SD Eibar, Women";"2024";"101.61";"22";"0";"28.2";"29.44";"0.72";"0.84";"1.53";"1.69";"2.12";"2.71";"8827.85";"98.09";"1058.43";"483.64";"43.24";"157.47";"9.02";"641.1";"52.26";"101.78";"4.27";"87.93";"11.23";"2.9";"0.93";"20.86"
"Miku Ito Kojima";"M. Kojima";"68177";"1999-11-06";"Granada CF, Women";"4071";"88.39";"6";"0";"23.37";"23.56";"null";"null";"null";"null";"2.39";"2.99";"9559.93";"106.22";"1117.54";"195.0";"15.78";"2.21";"0.0";"197.2";"15.78";"100.81";"1.87";"86.21";"3.39";"0.51";"0.0";"17.14"
"Naima García Aguilar";"Naima Garcia";"68178";"1998-06-24";"Reial Club Deportiu Espanyol";"4041";"72.83";"12";"0";"25.65";"26.92";"0.79";"null";"null";"null";"2.13";"3.04";"9776.0";"108.62";"1320.19";"366.01";"31.62";"62.41";"2.78";"428.42";"34.4";"98.15";"3.4";"82.08";"8.75";"2.37";"0.21";"23.38"
"Ana González";"Ana Gonzalez";"68183";"1995-03-26";"FC Levante Las Planas Badalona";"4040";"84.9";"16";"0";"24.12";"25.2";"1.09";"null";"null";"null";"2.33";"3.04";"8590.44";"95.45";"999.04";"240.96";"18.15";"18.35";"0.99";"259.32";"19.15";"99.65";"1.13";"82.88";"4.7";"0.4";"0.0";"13.32"
"Angela Sosa Martín";"Ángela Sosa";"68185";"1993-01-16";"Madrid CF, Women";"2011";"92.09";"21";"0";"25.76";"27.1";"0.85";"0.85";"null";"null";"2.09";"2.75";"10138.17";"112.65";"1634.03";"470.79";"37.56";"52.17";"3.96";"522.96";"41.51";"103.83";"1.35";"90.33";"6.47";"0.33";"0.05";"24.99"
"Paula Perea ";"Paula Perea";"68189";"1996-06-19";"Reial Club Deportiu Espanyol";"4041";"80.18";"8";"0";"26.09";"26.72";"0.92";"null";"null";"null";"2.23";"2.74";"9352.24";"103.91";"1217.93";"540.77";"41.53";"99.06";"4.91";"639.83";"46.44";"104.39";"5.61";"90.92";"15.15";"1.54";"0.0";"28.34"
"Andrea Medina Martin";"Andrea Medina";"68193";"2004-05-11";"Atlético Madrid, Women";"2000";"96.14";"23";"0";"26.72";"28.48";"0.82";"0.88";"1.57";"2.02";"2.0";"2.72";"9432.26";"104.8";"1223.17";"481.81";"37.53";"98.33";"5.01";"580.14";"42.53";"98.74";"4.72";"84.33";"12.21";"2.77";"0.33";"16.81"
"Silvia Lloris Nicolás";"Silvia Lloris";"68197";"2004-05-15";"Atlético Madrid, Women";"2000";"101.08";"16";"0";"26.65";"28.12";"0.89";"0.96";"null";"null";"2.47";"3.09";"8995.64";"99.95";"1001.65";"307.73";"23.93";"57.15";"2.95";"364.88";"26.88";"88.65";"2.45";"73.18";"3.45";"0.78";"0.22";"12.74"
"Leire Baños Indakoetxea";"Leire Baños";"68200";"1996-11-29";"Athletic Club de Bilbao, Women";"2010";"75.3";"13";"0";"23.96";"25.54";"null";"null";"null";"null";"2.47";"3.17";"9242.97";"102.7";"1003.73";"172.02";"16.83";"15.91";"0.55";"187.93";"17.38";"95.89";"1.84";"90.19";"4.14";"0.18";"0.0";"14.99"
"María Méndez Fernández";"María Méndez";"68201";"2001-04-10";"Real Madrid, Women";"2016";"99.26";"16";"0";"26.09";"27.12";"0.7";"0.83";"null";"null";"2.32";"3.0";"8773.44";"97.48";"972.19";"280.62";"23.86";"43.41";"2.61";"324.03";"26.46";"97.75";"2.55";"80.98";"5.27";"1.42";"0.06";"12.92"
"Núria Mendoza Miralles";"Núria Mendoza";"68202";"1995-12-15";"Madrid CF, Women";"2011";"98.3";"24";"0";"25.0";"26.88";"0.88";"null";"null";"null";"2.17";"3.12";"8420.82";"93.56";"776.3";"210.93";"18.2";"29.07";"1.34";"240.0";"19.53";"88.12";"1.95";"75.12";"4.08";"0.23";"0.0";"11.79"
"Lucía María Rodríguez Herrero";"Lucía Rodríguez";"68208";"1999-05-24";"Real Sociedad, Women";"2001";"99.03";"18";"0";"26.22";"27.38";"0.72";"null";"null";"null";"2.05";"3.0";"9279.69";"103.11";"1155.51";"352.79";"29.64";"68.32";"3.58";"421.1";"33.22";"94.47";"3.74";"84.42";"7.07";"1.57";"0.1";"19.34"
"Rocío Gálvez Luna";"Rocio Galvez";"68210";"1997-04-15";"Real Madrid, Women";"2016";"101.14";"13";"0";"25.72";"26.82";"0.96";"null";"null";"null";"2.2";"3.03";"8544.33";"94.94";"850.74";"241.43";"21.36";"28.68";"1.92";"270.12";"23.27";"83.24";"1.99";"71.05";"4.31";"0.82";"0.0";"11.57"
"Lorena Navarro Domínguez";"Lorena Navarro";"68215";"2000-11-11";"FC Levante Las Planas Badalona";"4040";"84.66";"11";"0";"23.25";"24.12";"null";"null";"null";"null";"2.16";"2.93";"9227.24";"102.52";"1085.2";"180.53";"16.43";"12.56";"0.58";"193.09";"17.01";"103.79";"0.77";"89.59";"5.9";"0.29";"0.0";"19.33"
"Paula Arana Montes";"Paula Arana";"68245";"2001-11-08";"Reial Club Deportiu Espanyol";"4041";"71.09";"11";"0";"25.31";"26.16";"0.76";"null";"null";"null";"2.15";"2.84";"10439.79";"116.0";"1665.16";"458.96";"38.09";"42.7";"3.57";"501.65";"41.66";"105.65";"3.34";"91.61";"8.17";"1.73";"0.0";"39.24"
"Irene Oguiza Martínez";"Irene Oguiza";"68246";"2000-01-05";"Athletic Club de Bilbao, Women";"2010";"61.29";"4";"0";"24.55";"24.55";"null";"null";"null";"null";"2.43";"null";"10216.64";"113.52";"1436.55";"263.96";"26.07";"16.15";"2.2";"280.11";"28.27";"110.5";"1.47";"101.33";"6.61";"1.1";"0.0";"22.39"
"Ane Azkona";"Ane Azkona";"68249";"1998-07-15";"Athletic Club de Bilbao, Women";"2010";"81.6";"16";"0";"26.86";"28.22";"0.78";"0.95";"1.83";"null";"1.99";"2.93";"9629.77";"107.0";"1337.32";"492.58";"42.6";"94.57";"6.07";"587.15";"48.66";"99.4";"4.27";"86.09";"8.41";"1.79";"0.76";"26.19"
"Ane Etxezarreta Ayerbe";"Ane Etxezarreta";"68262";"1995-08-24";"SD Eibar, Women";"2024";"93.05";"12";"0";"25.91";"26.62";"0.85";"null";"null";"null";"2.34";"2.99";"8473.36";"94.15";"853.84";"255.35";"21.44";"41.27";"2.42";"296.62";"23.86";"93.18";"2.74";"78.27";"6.53";"1.21";"0.24";"11.61"
"Lauren Eduarda Leal Costa";"Lauren Leal";"68398";"2002-09-13";"Atlético Madrid, Women";"2000";"88.92";"21";"0";"25.71";"27.02";"0.79";"0.98";"null";"null";"2.22";"3.11";"9165.59";"101.84";"1143.86";"315.59";"24.15";"47.47";"2.65";"363.07";"26.8";"95.91";"2.89";"82.27";"5.21";"1.45";"0.05";"12.34"
"Yasmim Assis Ribeiro";"Yasmim";"68399";"1996-10-28";"Real Madrid, Women";"2016";"74.12";"8";"0";"26.99";"28.12";"0.85";"0.93";"null";"null";"2.46";"3.0";"9720.73";"108.01";"1277.03";"450.62";"37.49";"94.4";"4.86";"545.02";"42.35";"102.75";"4.4";"90.15";"7.44";"3.04";"0.76";"19.43"
"Alices Yannel Correa Santa Cruz";"Yannel Correa";"68451";"1996-09-10";"Alhama CF";"5154";"84.74";"11";"0";"26.22";"27.6";"0.92";"null";"null";"null";"2.34";"3.13";"8224.02";"91.38";"824.67";"283.48";"23.56";"54.26";"2.22";"337.75";"25.78";"91.82";"3.19";"80.04";"5.41";"0.87";"0.1";"13.42"
"Ximena Daiana Velazco Nuñez";"X. Velazco";"68457";"1995-07-31";"DUX Logroño";"5155";"68.08";"8";"0";"24.15";"25.22";"null";"null";"null";"null";"2.76";"null";"9317.01";"103.52";"955.66";"175.66";"16.19";"14.38";"0.5";"190.04";"16.69";"83.29";"0.99";"83.95";"3.47";"0.0";"0.0";"10.41"
"Esperanza Pizarro Pagalday";"E. Pizarro";"68468";"2001-04-15";"Real Club Deportivo de La Coruña";"4039";"94.4";"12";"0";"25.5";"26.72";"0.85";"null";"null";"null";"1.91";"2.99";"9168.57";"101.87";"1255.87";"426.49";"33.93";"49.97";"2.94";"476.46";"36.86";"102.81";"3.65";"80.64";"8.74";"1.35";"0.0";"25.58"
"Chantal Hagel";"C. Hagel";"69887";"1998-07-20";"Sevilla FC, Women";"2013";"87.54";"5";"0";"23.5";"23.5";"null";"null";"null";"null";"2.39";"null";"9835.27";"109.28";"1427.36";"277.58";"22.0";"10.28";"0.41";"287.86";"22.41";"94.58";"1.23";"84.71";"4.73";"0.21";"0.21";"15.01"
"Sarah Jankovska";"S. Jankovska";"69987";"1999-08-13";"FC Levante Las Planas Badalona";"4040";"80.87";"4";"0";"26.82";"26.82";"null";"null";"null";"null";"2.41";"null";"9409.73";"104.55";"981.84";"267.93";"23.09";"29.77";"1.67";"297.7";"24.76";"86.81";"1.95";"79.57";"4.17";"0.28";"0.0";"19.75"
"Claudia Florentino Vivó";"Claudia Florentino";"69993";"1998-03-10";"Real Sociedad, Women";"2001";"98.92";"12";"0";"26.27";"26.76";"1.12";"null";"null";"null";"2.05";"3.07";"8890.03";"98.78";"952.1";"305.34";"26.54";"43.67";"3.56";"349.01";"30.1";"96.52";"2.5";"78.78";"5.46";"0.68";"0.0";"16.83"
"Natasa Andonova";"N. Andonova";"70069";"1993-12-04";"Madrid CF, Women";"2011";"70.66";"14";"0";"24.09";"25.06";"null";"null";"null";"null";"2.33";"null";"9291.21";"103.24";"1136.35";"243.44";"21.11";"15.19";"0.64";"258.64";"21.74";"94.7";"1.46";"81.69";"5.46";"0.27";"0.18";"18.83"
"Ainhoa Estévez Bascuñán";"Ainhoa Bascuñán";"70071";"2004-02-23";"Levante UD, Women";"2003";"78.1";"8";"0";"23.85";"24.72";"0.77";"null";"null";"null";"2.58";"null";"9188.08";"102.09";"1217.8";"208.3";"16.28";"13.54";"1.73";"221.84";"18.01";"90.32";"1.44";"77.07";"2.88";"0.43";"0.0";"14.55"
"Estefanía  Lima Díaz";"Estefa";"70124";"1989-05-11";"Alhama CF";"5154";"77.48";"9";"0";"24.52";"25.42";"null";"null";"null";"null";"2.84";"3.33";"9096.07";"101.07";"1061.05";"242.0";"18.97";"18.59";"1.03";"260.58";"20.01";"97.7";"1.94";"85.83";"6.32";"0.39";"0.0";"12.65"
"Belen Martínez Sousa";"Belen";"70126";"1988-11-24";"Alhama CF";"5154";"97.26";"17";"0";"28.75";"29.76";"0.63";"0.76";"1.41";"1.59";"2.29";"2.77";"8968.01";"99.64";"1009.32";"543.53";"53.73";"203.86";"11.21";"747.38";"64.94";"98.47";"6.59";"77.68";"18.4";"4.46";"1.25";"26.89"
"Ainoa Campo Franco";"Ainoa Campo";"70128";"1996-06-17";"Reial Club Deportiu Espanyol";"4041";"93.96";"19";"0";"24.98";"26.4";"0.94";"null";"null";"null";"2.07";"2.84";"9950.07";"110.56";"1347.19";"294.2";"24.1";"26.01";"1.46";"320.21";"25.56";"107.53";"1.81";"91.55";"6.35";"0.35";"0.0";"22.53"
"Raquel Pinel Sáez";"Raquel Pinel";"70143";"1994-08-30";"Alhama CF";"5154";"75.15";"10";"0";"23.66";"24.56";"null";"null";"null";"null";"2.07";"2.83";"8722.49";"96.92";"1049.41";"227.06";"22.27";"22.15";"0.96";"249.21";"23.23";"97.24";"2.16";"83.35";"5.63";"0.6";"0.0";"15.09"
"Sheila Guijarro Gómez";"Sheila Guijarro";"70144";"1996-09-26";"Atlético Madrid, Women";"2000";"83.62";"2";"0";"26.4";"26.4";"null";"null";"null";"null";"null";"null";"9125.75";"101.4";"1055.35";"381.02";"32.29";"87.18";"2.69";"468.21";"34.98";"92.03";"5.38";"78.57";"10.23";"0.54";"0.54";"22.06"
"Arene Altonaga Echeverria";"Arene Altonaga";"70147";"1993-02-25";"SD Eibar, Women";"2024";"82.28";"21";"0";"23.96";"25.42";"0.76";"0.83";"null";"null";"2.04";"2.87";"9695.1";"107.72";"1420.92";"276.22";"24.95";"16.51";"1.04";"292.74";"25.99";"111.21";"2.19";"93.19";"11.46";"0.83";"0.0";"28.13"
"Arola Aparicio Gili";"Arola Aparicio";"70148";"1997-09-24";"Real Sociedad, Women";"2001";"86.34";"6";"0";"27.67";"27.9";"0.71";"0.79";"1.58";"null";"2.15";"3.01";"9699.26";"107.77";"1268.04";"560.8";"53.51";"184.67";"10.42";"745.47";"63.93";"97.64";"6.6";"87.73";"15.46";"5.21";"1.39";"34.57"
"Elba Vergés Prats";"Elba Vergés";"70149";"1995-10-24";"UDG Tenerife, Women";"1996";"101.88";"21";"0";"24.88";"26.24";"0.78";"null";"1.87";"null";"2.29";"2.88";"8548.29";"94.98";"907.26";"229.77";"19.18";"17.71";"0.93";"247.48";"20.11";"93.22";"2.4";"75.22";"4.04";"1.18";"0.17";"14.39"
"María Llompart Pons";"María Llompart";"70151";"2000-10-19";"FC Levante Las Planas Badalona";"4040";"85.62";"20";"0";"25.38";"26.56";"0.87";"0.95";"2.24";"null";"2.2";"2.86";"9609.27";"106.77";"1307.47";"380.85";"30.9";"42.78";"2.79";"423.63";"33.69";"96.39";"1.94";"83.1";"8.04";"1.37";"0.21";"26.6"
"Ane Campos Andueza";"Ane Campos";"70161";"1999-05-21";"Athletic Club de Bilbao, Women";"2010";"65.01";"9";"0";"27.4";"28.42";"0.81";"0.81";"null";"null";"2.32";"2.81";"10045.62";"111.62";"1299.08";"460.72";"47.07";"101.07";"7.23";"561.78";"54.3";"111.06";"4.77";"93.37";"9.69";"1.69";"0.31";"37.53"
"Miriam Rodriguez González";"Kuki";"70162";"1994-11-18";"Alhama CF";"5154";"75.52";"3";"0";"22.9";"22.9";"null";"null";"null";"null";"2.44";"3.03";"10043.61";"111.6";"1334.8";"342.44";"28.21";"13.11";"0.0";"355.55";"28.21";"104.88";"1.99";"91.37";"7.15";"0.0";"0.0";"27.01"
"Paulina Gramaglia";"P. Gramaglia";"75104";"2003-03-21";"UDG Tenerife, Women";"1996";"76.88";"6";"0";"25.92";"26.22";"0.97";"null";"null";"null";"2.08";"3.0";"9733.38";"108.15";"1179.58";"459.66";"37.46";"53.65";"4.1";"513.31";"41.56";"108.67";"6.24";"87.8";"10.34";"3.32";"0.0";"31.8"
"Carmen Menayo Montero";"Carmen Menayo";"95618";"1998-04-14";"Atlético Madrid, Women";"2000";"72.48";"11";"0";"26.79";"28.42";"0.95";"null";"null";"null";"2.42";"null";"8677.61";"96.42";"955.2";"290.33";"25.06";"65.02";"3.39";"355.35";"28.45";"89.51";"2.03";"74.28";"3.61";"0.45";"0.0";"8.8"
"Carmen Álvarez ";"Carmen Alvarez";"95619";"2003-02-24";"SD Eibar, Women";"2024";"82.52";"17";"0";"27.31";"28.5";"0.88";"null";"null";"null";"2.12";"3.02";"8660.91";"96.23";"972.35";"373.39";"35.29";"94.31";"5.52";"467.7";"40.8";"96.11";"5.45";"80.96";"10.2";"2.5";"0.51";"22.39"
"Claudia Iglesias de la Cruz";"Claudia Iglesias";"95620";"2003-08-30";"UDG Tenerife, Women";"1996";"72.78";"1";"0";"22.9";"22.9";"null";"null";"null";"null";"null";"null";"9374.26";"104.16";"1081.98";"210.21";"16.08";"0.0";"0.0";"210.21";"16.08";"100.16";"1.24";"87.79";"4.95";"0.0";"0.0";"8.66"
"Sheila García Gómez";"Sheila Garcia";"95622";"1997-03-15";"Real Madrid, Women";"2016";"88.1";"13";"0";"27.67";"29.12";"0.78";"0.8";"null";"null";"2.05";"3.11";"9431.49";"104.79";"1180.14";"450.12";"40.16";"97.6";"6.13";"547.72";"46.28";"92.57";"3.69";"81.73";"6.99";"2.12";"0.16";"20.98"
"Ana Franco de la Vega";"Ana Franco";"95624";"1999-06-06";"Levante UD, Women";"2003";"88.68";"12";"0";"25.46";"26.52";"0.74";"null";"null";"null";"2.25";"2.9";"10010.94";"111.23";"1534.13";"474.62";"36.7";"44.91";"3.64";"519.53";"40.34";"109.01";"4.23";"92.69";"7.19";"1.61";"0.25";"24.86"
"María Inmaculada Gabarro Romero";"Inma Gabarro";"95632";"2002-11-05";"Sevilla FC, Women";"2013";"91.0";"10";"0";"27.49";"28.12";"0.66";"0.78";"1.29";"null";"2.07";"2.99";"9489.41";"105.44";"1285.57";"473.03";"44.7";"115.31";"7.52";"588.34";"52.22";"107.5";"6.43";"90.49";"13.65";"4.85";"0.79";"29.37"
"Teresa Merida Cañete";"Teresa Merida";"95634";"2002-07-17";"Levante UD, Women";"2003";"97.28";"15";"0";"24.74";"26.54";"0.97";"null";"null";"null";"2.49";"3.21";"8470.07";"94.11";"802.06";"213.65";"15.48";"28.06";"1.48";"241.71";"16.96";"85.05";"2.04";"71.3";"3.21";"0.56";"0.19";"7.83"
"Esmee Brugts";"E. Brugts";"143905";"2003-07-28";"FC Barcelona, Women";"1995";"85.95";"16";"0";"25.75";"26.9";"0.67";"0.79";"1.77";"null";"2.1";"2.87";"9683.52";"107.59";"1250.44";"385.2";"32.85";"54.19";"3.27";"439.39";"36.13";"99.8";"4.97";"84.88";"8.97";"2.42";"0.59";"20.75"
"Welma Fon";"W. Fon";"143945";"2002-06-01";"DUX Logroño";"5155";"48.83";"2";"0";"27.15";"27.15";"null";"null";"null";"null";"null";"null";"9177.24";"101.97";"1333.41";"465.36";"46.08";"127.17";"8.29";"592.53";"54.37";"97.68";"4.61";"81.09";"20.27";"3.69";"0.92";"27.65"
"Paula Partido Duran";"Paula Partido";"147842";"2005-03-02";"DUX Logroño";"5155";"75.92";"9";"0";"26.13";"26.92";"0.75";"1.28";"null";"null";"1.94";"2.86";"9999.82";"111.11";"1461.93";"472.73";"39.25";"59.27";"3.82";"532.0";"43.07";"100.24";"3.56";"85.22";"10.14";"1.98";"0.0";"33.06"
"Ona Baradad Rius";"Ona Baradad";"147844";"2004-04-16";"Reial Club Deportiu Espanyol";"4041";"84.54";"18";"0";"26.94";"28.64";"0.64";"0.76";"null";"null";"1.92";"2.76";"9716.12";"107.96";"1243.92";"447.96";"41.16";"96.05";"5.26";"544.01";"46.43";"97.71";"4.44";"82.33";"10.47";"2.48";"0.06";"31.35"
"Ariana Arias Jiménez";"Ariana Arias";"151716";"2003-05-25";"UDG Tenerife, Women";"1996";"62.5";"1";"0";"24.6";"24.6";"null";"null";"null";"null";"null";"null";"10252.8";"113.92";"1758.24";"627.84";"44.64";"34.56";"1.44";"662.4";"46.08";"109.44";"7.2";"84.96";"11.52";"4.32";"2.88";"25.92"
"Ariana Arias Jiménez";"Ariana Arias";"151716";"2003-05-25";"Levante UD, Women";"2003";"76.07";"5";"0";"25.62";"25.62";"1.0";"null";"null";"null";"2.03";"null";"9212.32";"102.36";"1196.32";"460.45";"39.75";"46.85";"4.73";"507.3";"44.48";"109.55";"6.63";"90.15";"9.46";"2.84";"0.0";"26.74"
"Esther Laborde Cabanillas";"Esther Laborde";"151728";"2004-04-20";"Madrid CF, Women";"2011";"75.84";"18";"0";"24.31";"25.56";"0.97";"null";"null";"null";"2.27";"3.09";"9195.7";"102.17";"1175.04";"294.7";"24.26";"23.87";"1.19";"318.57";"25.45";"93.88";"1.38";"81.88";"4.35";"0.73";"0.07";"16.28"
"Claire Lavogez";"C. Lavogez";"157687";"1994-06-18";"Real Sociedad, Women";"2001";"77.38";"11";"0";"26.05";"26.6";"1.13";"null";"null";"null";"2.13";"2.95";"9818.39";"109.09";"1280.19";"435.82";"40.28";"65.24";"4.76";"501.06";"45.04";"106.05";"4.33";"89.03";"12.79";"0.74";"0.11";"29.39"
"Salma Paralluelo Ayingono";"Salma Paralluelo";"167402";"2003-11-13";"FC Barcelona, Women";"1995";"82.59";"11";"0";"28.52";"29.46";"0.71";"0.81";"1.48";"2.19";"2.14";"2.96";"9293.94";"103.27";"1126.62";"466.92";"50.53";"167.63";"10.01";"634.54";"60.53";"109.17";"5.85";"94.12";"11.69";"3.86";"1.49";"26.85"
"Naomie Feller";"N. Feller";"167449";"2001-11-06";"Real Madrid, Women";"2016";"65.94";"11";"0";"28.44";"29.24";"0.8";"0.83";"1.54";"null";"2.18";"2.71";"9010.67";"100.12";"1057.02";"446.31";"45.54";"135.25";"8.19";"581.55";"53.73";"101.74";"6.2";"83.38";"15.01";"4.09";"0.99";"26.68"
"Ruthny Mathurin";"R. Mathurin";"167457";"2001-01-14";"Alhama CF";"5154";"51.23";"1";"0";"26.4";"26.4";"null";"null";"null";"null";"null";"null";"8245.8";"91.62";"943.33";"346.06";"38.65";"52.7";"7.03";"398.76";"45.67";"100.13";"7.03";"87.83";"15.81";"0.0";"0.0";"22.84"
"Allegra Poljak";"A. Poljak";"167512";"1999-02-05";"Madrid CF, Women";"2011";"92.99";"19";"0";"27.75";"28.98";"0.67";"0.77";"1.43";"null";"2.19";"2.84";"9337.59";"103.75";"1161.32";"442.59";"38.97";"142.37";"7.18";"584.96";"46.15";"98.21";"3.92";"87.82";"9.98";"2.7";"0.36";"21.5"
